순위,2024년,,
,국가,입국자수(명),
1,중  국,"4,603,273",
2,일  본,"3,224,079",
3,대  만,"1,473,908",
4,미  국,"1,320,108",
5,홍  콩,"571,418",
6,필리핀,"516,760",
7,베트남,"511,420",
8,싱가포르,"375,428",
9,인도네시아,"336,185",
10,태  국,"323,856",
11,말레이시아,"300,836",
12,캐나다,"254,332",
13,오스트레일리아,"244,338",
14,러시아(연방),"197,198",
15,인  도,"176,668",
16,프랑스,"164,508",
17,독  일,"157,185",
18,영  국,"147,493",
19,몽  골,"141,902",
20,미얀마,"76,334",
21,이탈리아,"63,423",
22,우즈베키스탄,"59,501",
23,멕시코,"57,888",
24,네덜란드,"55,038",
25,카자흐스탄,"54,893",
,,,